number,value,datetime_start,datetime_complete,duration,params_--d_model,params_--dropout,params_--learning_rate,params_--learning_rate_schedule,params_--n_head,params_--n_layer,params_--num_train_epochs,params_--per_device_train_batch_size,params_--weight_decay,system_attrs_fail_reason,state
80,,2020-09-28 08:47:43.598548,2020-09-28 08:47:53.313168,0 days 00:00:09.714620000,256.0,0.2,0.0057576677312360025,constant_with_warmup,2.0,2.0,5.0,192.0,1.4588796903507379e-06,Trial 80 failed because of the following error: KeyError(<autobench.core.job.Job object at 0x7f1d1c2738d0>),FAIL
81,,2020-09-28 08:47:50.003312,,,,,,,,,,,,,RUNNING
82,,2020-09-28 08:47:53.064658,,,,,,,,,,,,,RUNNING
83,0.1732904540820797,2020-09-28 09:16:08.124968,2020-09-28 17:48:13.525632,0 days 08:32:05.400664000,256.0,0.2,0.007800456287681936,constant_with_warmup,2.0,2.0,5.0,192.0,1.5315432824304706e-06,,COMPLETE
84,0.34263540880434995,2020-09-28 09:16:08.145489,2020-09-28 17:55:27.749505,0 days 08:39:19.604016000,256.0,0.2,0.005752284158256035,constant_with_warmup,2.0,2.0,5.0,192.0,1.2984938808239773e-06,,COMPLETE
85,0.39056918575574084,2020-09-28 09:16:08.175008,2020-09-28 17:54:22.127998,0 days 08:38:13.952990000,256.0,0.2,0.005597473123917662,constant_with_warmup,2.0,2.0,5.0,192.0,1.4637171229072114e-06,,COMPLETE
86,0.3890928138651555,2020-09-28 09:16:08.194846,2020-09-28 18:02:04.284303,0 days 08:45:56.089457000,256.0,0.2,0.0058696998762167675,constant_with_warmup,2.0,2.0,5.0,192.0,1.5496297595655874e-06,,COMPLETE
87,0.4028368197043661,2020-09-28 09:16:08.196414,2020-09-28 19:09:07.822618,0 days 09:52:59.626204000,256.0,0.2,0.005819000501232498,constant_with_warmup,2.0,2.0,5.0,192.0,1.561796420167475e-06,,COMPLETE
88,0.3762904756593565,2020-09-28 17:48:13.733467,2020-09-29 02:20:01.351013,0 days 08:31:47.617546000,256.0,0.2,0.006170320939915266,constant_with_warmup,2.0,2.0,5.0,192.0,2.829927189228553e-06,,COMPLETE
89,0.35224981067201255,2020-09-28 17:54:22.477423,2020-09-29 02:21:10.134373,0 days 08:26:47.656950000,256.0,0.2,0.006282658847708629,constant_with_warmup,2.0,2.0,5.0,192.0,2.8491324833752006e-06,,COMPLETE
90,0.35956994902746164,2020-09-28 17:55:27.901937,2020-09-29 02:41:03.341680,0 days 08:45:35.439743000,256.0,0.1,0.006218577521923903,constant_with_warmup,2.0,2.0,5.0,192.0,2.782617911440253e-06,,COMPLETE
91,0.11566727022742233,2020-09-28 18:02:04.327737,2020-09-29 00:32:02.364761,0 days 06:29:58.037024000,256.0,0.1,0.009843218933741618,constant_with_warmup,2.0,2.0,4.0,192.0,2.809107327357968e-06,,COMPLETE
92,0.12042930840178934,2020-09-28 19:09:08.023718,2020-09-29 03:31:39.629421,0 days 08:22:31.605703000,256.0,0.1,0.009910074651951001,constant_with_warmup,2.0,2.0,5.0,192.0,2.831169993197365e-06,,COMPLETE
93,0.3777437132236992,2020-09-29 00:32:02.461477,2020-09-29 09:16:43.022344,0 days 08:44:40.560867000,,,,,,,,,,,COMPLETE
94,0.39818455888876636,2020-09-29 02:20:01.410680,2020-09-29 05:56:30.837078,0 days 03:36:29.426398000,,,,,,,,,,,COMPLETE
95,0.25946655890081477,2020-09-29 15:23:25.694561,2020-09-29 19:05:53.497318,0 days 03:42:27.802757000,256.0,0.2,0.0009059593103609907,linear_with_warmup,16.0,1.0,4.0,256.0,1.0036133613864705e-06,,COMPLETE
96,0.2327966435887944,2020-09-29 15:23:25.717459,2020-09-29 19:21:07.029852,0 days 03:57:41.312393000,256.0,0.2,0.005140683047552373,linear_with_warmup,16.0,1.0,4.0,256.0,1.9800812064837622e-06,,COMPLETE
97,0.24446359168146145,2020-09-29 15:23:25.751626,2020-09-29 19:02:37.045111,0 days 03:39:11.293485000,256.0,0.2,0.003901481846686809,linear_with_warmup,16.0,1.0,4.0,256.0,1.8556328105710538e-06,,COMPLETE
98,0.24205923278878763,2020-09-29 15:23:25.768382,2020-09-29 19:10:01.603418,0 days 03:46:35.835036000,256.0,0.2,0.004088987222551871,linear_with_warmup,16.0,1.0,4.0,256.0,6.928543953788714e-05,,COMPLETE
99,,2020-09-29 15:23:25.796816,2020-09-29 15:24:15.780264,0 days 00:00:49.983448000,256.0,0.2,0.003976302937799309,linear_with_warmup,2.0,1.0,4.0,256.0,1.0015847823834378e-06,Trial 99 failed because of the following error: KeyError(<autobench.core.job.Job object at 0x7f53d8556c90>),FAIL
