number,value,datetime_start,datetime_complete,duration,params_--d_model,params_--dropout,params_--hidden_act,params_--learning_rate,params_--n_head,params_--n_layer,params_--per_device_train_batch_size,system_attrs_fail_reason,state
105,0.30940963353314016,2020-09-15 22:09:37.564479,2020-09-16 00:07:20.014471,0 days 01:57:42.449992000,128.0,0.3,gelu,0.0017864271151550337,1.0,1.0,64.0,,COMPLETE
106,0.3123279812775094,2020-09-15 22:23:49.495296,2020-09-16 00:21:47.903309,0 days 01:57:58.408013000,128.0,0.3,gelu,0.00178135650768394,1.0,1.0,64.0,,COMPLETE
107,0.3089291666409473,2020-09-15 22:24:18.799072,2020-09-16 00:17:59.127254,0 days 01:53:40.328182000,128.0,0.3,gelu,0.0018201445013796018,1.0,1.0,64.0,,COMPLETE
108,0.314061979878378,2020-09-15 22:40:32.140829,2020-09-16 00:37:02.898631,0 days 01:56:30.757802000,128.0,0.3,gelu,0.0017043182667274522,1.0,1.0,64.0,,COMPLETE
109,0.31899510198728825,2020-09-15 23:56:50.570407,2020-09-16 01:54:49.882526,0 days 01:57:59.312119000,128.0,0.3,gelu,0.0021770576069357664,1.0,1.0,64.0,,COMPLETE
110,0.32029713083246586,2020-09-16 00:07:20.090460,2020-09-16 02:07:52.336439,0 days 02:00:32.245979000,128.0,0.3,gelu,0.002259040558258611,1.0,1.0,64.0,,COMPLETE
111,0.3193425363336143,2020-09-16 00:17:59.179719,2020-09-16 02:25:04.201454,0 days 02:07:05.021735000,128.0,0.3,gelu,0.002255103518187861,1.0,1.0,64.0,,COMPLETE
112,0.3048944260435906,2020-09-16 00:21:47.982980,2020-09-16 02:17:17.708214,0 days 01:55:29.725234000,128.0,0.3,gelu,0.002229989804782794,1.0,1.0,64.0,,COMPLETE
113,0.3128832607654948,2020-09-16 00:37:02.959604,2020-09-16 03:05:26.631225,0 days 02:28:23.671621000,128.0,0.3,gelu,0.001682243442850773,1.0,1.0,64.0,,COMPLETE
114,0.3158715864107613,2020-09-16 01:54:49.990262,2020-09-16 03:53:13.892474,0 days 01:58:23.902212000,128.0,0.3,gelu,0.0016943180952321525,1.0,1.0,64.0,,COMPLETE
115,0.30747360558211506,2020-09-16 02:07:52.456122,2020-09-16 04:11:30.666839,0 days 02:03:38.210717000,128.0,0.3,gelu,0.002197963572257962,1.0,1.0,64.0,,COMPLETE
116,0.2884637469974038,2020-09-16 02:17:17.791071,2020-09-16 04:12:49.516595,0 days 01:55:31.725524000,128.0,0.3,gelu,0.0026023669759914513,1.0,1.0,64.0,,COMPLETE
117,0.2806329713486935,2020-09-16 02:25:04.256264,2020-09-16 04:20:33.601206,0 days 01:55:29.344942000,128.0,0.3,gelu,0.0026135654210123886,1.0,1.0,64.0,,COMPLETE
