number,value,datetime_start,datetime_complete,duration,params_--d_model,params_--dropout,params_--learning_rate,params_--learning_rate_schedule,params_--n_layer,params_--num_train_epochs,params_--per_device_train_batch_size,params_--weight_decay,system_attrs_fail_reason,state
106,,2020-09-30 10:12:23.434205,2020-09-30 14:49:59.073249,0 days 04:37:35.639044000,128.0,0.1,0.008271918338150717,linear_with_warmup,1.0,5.0,64.0,3.325422224870109e-05,"Trial 106 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
107,0.22738905430103915,2020-09-30 10:49:42.516456,2020-09-30 15:11:58.882565,0 days 04:22:16.366109000,32.0,0.1,0.0023146235201715374,linear_with_warmup,1.0,5.0,64.0,6.990908292423875e-05,,COMPLETE
108,0.23754827785573757,2020-09-30 11:36:21.481437,2020-09-30 16:36:34.865255,0 days 05:00:13.383818000,32.0,0.1,0.007929431646308235,linear_with_warmup,1.0,5.0,64.0,1.5799732025016544e-05,,COMPLETE
109,0.25782017749446234,2020-09-30 11:51:48.362806,2020-09-30 16:40:09.075507,0 days 04:48:20.712701000,128.0,0.1,0.0021872007337219775,linear_with_warmup,1.0,5.0,64.0,3.182590064531491e-05,,COMPLETE
110,0.2328826274636763,2020-09-30 12:56:37.131439,2020-09-30 17:25:15.859707,0 days 04:28:38.728268000,32.0,0.1,0.002904168387826161,linear_with_warmup,1.0,5.0,64.0,1.0144319488707893e-06,,COMPLETE
111,0.2323643465144016,2020-09-30 14:49:59.211309,2020-09-30 19:07:33.781839,0 days 04:17:34.570530000,32.0,0.1,0.0028823236775256515,linear_with_warmup,1.0,5.0,64.0,6.48549328686207e-05,,COMPLETE
112,0.24431839245953663,2020-09-30 15:11:58.972619,2020-09-30 20:02:13.606630,0 days 04:50:14.634011000,128.0,0.1,0.005656637745698613,linear_with_warmup,1.0,5.0,64.0,1.3970838359078467e-05,,COMPLETE
113,0.25318824814673363,2020-09-30 16:36:34.998413,2020-09-30 21:40:12.446867,0 days 05:03:37.448454000,128.0,0.1,0.0030514903905772698,linear_with_warmup,1.0,5.0,64.0,3.46747202896324e-05,,COMPLETE
114,0.2443788480177567,2020-09-30 16:40:12.026996,2020-09-30 21:25:27.441364,0 days 04:45:15.414368000,128.0,0.1,0.005454072839197078,linear_with_warmup,1.0,5.0,64.0,3.701107873544861e-05,,COMPLETE
115,0.2443396391401487,2020-09-30 17:25:15.948526,2020-09-30 22:09:56.486761,0 days 04:44:40.538235000,128.0,0.1,0.005638560987280675,linear_with_warmup,1.0,5.0,64.0,3.754521158201509e-05,,COMPLETE
116,0.2436896313377444,2020-09-30 19:07:33.845740,2020-09-30 23:54:15.761975,0 days 04:46:41.916235000,128.0,0.1,0.005275119240519357,linear_with_warmup,1.0,5.0,64.0,3.595668047760784e-05,,COMPLETE
117,,2020-09-30 20:02:13.863882,,,128.0,0.1,0.00502602828553328,linear_with_warmup,1.0,5.0,64.0,3.6064893088825054e-05,,RUNNING
118,,2020-09-30 21:25:27.504884,,,128.0,0.1,0.004859578350432127,linear_with_warmup,1.0,5.0,64.0,2.676499007174461e-05,,RUNNING
